"","Comparison..group1.group2.","Group","ProteinGroups","AVG.Log2.Ratio","Absolute.AVG.Log2.Ratio","Pvalue","Qvalue","X..of.Ratios","UniProtIds","Genes","ProteinDescriptions","ProteinNames","X..Unique.Total.Peptides","X..Change","Ratio","Condition.Numerator","Condition.Denominator","GO.Cellular.Component","GO.Molecular.Function","GO.Biological.Process","minuslogqval","Color"
"121","HER2 / DF","P46940","P46940",2.025768149,2.025768149,6.25e-56,4.06e-54,2016,"P46940","IQGAP1","Ras GTPase-activating-like protein IQGAP1","IQGA1_HUMAN",126,307.2086334,4.072086334,"HER2","DF","ruffle,nucleus,cytoplasm,cytosol,microtubule,actin filament,plasma membrane,cell-cell adherens junction,focal adhesion,lateral plasma membrane,axon,growth cone,midbody,extrinsic component of cytoplasmic side of plasma membrane,slit diaphragm,cytoplasmic ribonucleoprotein granule,neuron projection,protein complex,membrane raft,extracellular exosome,actin cytoskeleton,microtubule cytoskeleton","GTPase inhibitor activity,GTPase activator activity,calcium ion binding,protein binding,calmodulin binding,phosphatidylinositol-3,4,5-trisphosphate binding,protein kinase binding,protein phosphatase binding,protein domain specific binding,protein complex binding,protein serine/threonine kinase activator activity,S100 protein binding,Rac GTPase binding,mitogen-activated protein kinase binding,cadherin binding involved in cell-cell adhesion","regulation of cytokine production,signal transduction,epidermal growth factor receptor signaling pathway,fibroblast growth factor receptor signaling pathway,negative regulation of GTPase activity,negative regulation of dephosphorylation,cellular response to platelet-derived growth factor stimulus,positive regulation of MAP kinase activity,positive regulation of GTPase activity,positive regulation of protein kinase activity,platelet-derived growth factor receptor signaling pathway,positive regulation of focal adhesion assembly,cellular response to calcium ion,cellular response to epidermal growth factor stimulus,glomerular visceral epithelial cell development,cell-cell adhesion,positive regulation of dendrite development,positive regulation of peptidyl-tyrosine autophosphorylation,positive regulation of cellular protein localization,positive regulation of vascular associated smooth muscle cell migration,neuron projection extension,response to angiotensin",53.3914739664228,"Red"
"122","HER2 / DF","P08779","P08779",-4.417922466,4.417922466,1.3e-55,8.09e-54,392,"P08779","KRT16","Keratin, type I cytoskeletal 16","K1C16_HUMAN",24,-95.32186426,0.046781357,"HER2","DF","nucleus,cytoskeleton,intermediate filament,extracellular exosome","structural constituent of cytoskeleton,protein binding","morphogenesis of an epithelium,inflammatory response,cytoskeleton organization,aging,cell proliferation,epidermis development,keratinocyte differentiation,negative regulation of cell migration,keratinization,hair cycle,innate immune response,intermediate filament cytoskeleton organization,keratinocyte migration,establishment of skin barrier",53.0920514783877,"Blue"
"123","TN / DF","P48735","P48735",1.45623542,1.45623542,2.29e-55,1.12e-53,616,"P48735","IDH2","Isocitrate dehydrogenase [NADP], mitochondrial","IDHP_HUMAN",38,174.3914294,2.743914294,"TN","DF","mitochondrion,mitochondrial inner membrane,mitochondrial matrix,peroxisome,cytosol,extracellular exosome","magnesium ion binding,isocitrate dehydrogenase (NADP+) activity,NAD binding","carbohydrate metabolic process,glyoxylate cycle,tricarboxylic acid cycle,isocitrate metabolic process,2-oxoglutarate metabolic process",52.9507819773298,"Red"
"124","Meta / DF","P02647","P02647",2.267787526,2.267787526,4.16e-53,2.29e-51,644,"P02647","APOA1","Apolipoprotein A-I","APOA1_HUMAN",43,381.5840218,4.815840218,"Meta","DF","extracellular region,extracellular space,nucleus,early endosome,endoplasmic reticulum lumen,cytosol,plasma membrane,cell surface,endocytic vesicle,cytoplasmic vesicle,very-low-density lipoprotein particle,high-density lipoprotein particle,discoidal high-density lipoprotein particle,spherical high-density lipoprotein particle,secretory granule lumen,chylomicron,extracellular exosome,endocytic vesicle lumen,blood microparticle,extracellular vesicle","beta-amyloid binding,protein binding,phospholipid binding,phospholipid transporter activity,high-density lipoprotein particle binding,cholesterol binding,cholesterol transporter activity,enzyme binding,phosphatidylcholine binding,apolipoprotein receptor binding,apolipoprotein A-I receptor binding,identical protein binding,chemorepellent activity,lipase inhibitor activity,phosphatidylcholine-sterol O-acyltransferase activator activity,high-density lipoprotein particle receptor binding","retinoid metabolic process,regulation of protein phosphorylation,endothelial cell proliferation,platelet degranulation,negative regulation of cytokine secretion involved in immune response,phospholipid metabolic process,phosphatidylcholine biosynthetic process,cholesterol biosynthetic process,receptor-mediated endocytosis,G-protein coupled receptor signaling pathway,integrin-mediated signaling pathway,response to nutrient,cholesterol metabolic process,glucocorticoid metabolic process,negative regulation of tumor necrosis factor-mediated signaling pathway,positive regulation of cholesterol esterification,positive regulation of triglyceride catabolic process,negative regulation of very-low-density lipoprotein particle remodeling,peripheral nervous system axon regeneration,protein oxidation,peptidyl-methionine modification,triglyceride catabolic process,lipid storage,regulation of intestinal cholesterol absorption,cholesterol transport,adrenal gland development,animal organ regeneration,neuron projection regeneration,regulation of Cdc42 protein signal transduction,cholesterol efflux,phospholipid efflux,negative regulation of heterotypic cell-cell adhesion,high-density lipoprotein particle remodeling,high-density lipoprotein particle assembly,high-density lipoprotein particle clearance,positive regulation of Rho protein signal transduction,lipoprotein metabolic process,lipoprotein biosynthetic process,response to drug,cholesterol homeostasis,blood vessel endothelial cell migration,response to estrogen,reverse cholesterol transport,cellular protein metabolic process,positive regulation of fatty acid biosynthetic process,negative regulation of interleukin-1 beta secretion,negative regulation of inflammatory response,protein stabilization,negative chemotaxis,positive regulation of lipoprotein lipase activity,vitamin transport,positive regulation of hydrolase activity,positive regulation of stress fiber assembly,transmembrane transport,phospholipid homeostasis,negative regulation of lipase activity,negative regulation of cell adhesion molecule production,negative regulation of response to cytokine stimulus,triglyceride homeostasis,cholesterol import,positive regulation of substrate adhesion-dependent cell spreading,transforming growth factor beta receptor signaling pathway,ERK1 and ERK2 cascade",50.6401645176601,"Red"
"125","HER2 / DF","Q9NZN4","Q9NZN4",-2.764333444,2.764333444,1.68e-52,1.01e-50,560,"Q9NZN4","EHD2","EH domain-containing protein 2","EHD2_HUMAN",30,-85.28186727,0.147181327,"HER2","DF","nucleus,cytosol,plasma membrane,caveola,endosome membrane,extrinsic component of membrane,perinuclear region of cytoplasm,recycling endosome membrane,extracellular exosome","nucleic acid binding,calcium ion binding,protein binding,ATP binding,GTP binding,hydrolase activity,protein domain specific binding","endocytosis,blood coagulation,cortical actin cytoskeleton organization,endocytic recycling,protein localization to plasma membrane,membrane tubulation,positive regulation of myoblast fusion,positive regulation of endocytic recycling",49.9956786262174,"Blue"
"126","Meta / DF","Q02413","Q02413",-4.167565529,4.167565529,2.29e-52,1.23e-50,322,"Q02413","DSG1","Desmoglein-1","DSG1_HUMAN",21,-94.43535111,0.055646489,"Meta","DF","cytosol,plasma membrane,cytoplasmic side of plasma membrane,integral component of membrane,apical plasma membrane,lateral plasma membrane,desmosome,extracellular matrix,extracellular exosome,cell-cell junction","calcium ion binding,protein binding,toxic substance binding,gamma-catenin binding","cell-cell junction assembly,homophilic cell adhesion via plasma membrane adhesion molecules,single organismal cell-cell adhesion,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,response to progesterone,protein stabilization,maternal process involved in female pregnancy",49.9100948885606,"Blue"
"127","Meta / DF","P00450","P00450",2.721051504,2.721051504,3.36e-52,1.74e-50,1288,"P00450","CP","Ceruloplasmin","CERU_HUMAN",77,559.3532064,6.593532064,"Meta","DF","extracellular region,extracellular space,lysosomal membrane,extracellular exosome,blood microparticle","ferroxidase activity,copper ion binding,chaperone binding","copper ion transport,cellular iron ion homeostasis,oxidation-reduction process",49.7594507517174,"Red"
"128","Meta / DF","O00159","O00159",-3.512414437,3.512414437,4.57e-52,2.31e-50,854,"O00159","MYO1C","Unconventional myosin-Ic","MYO1C_HUMAN",70,-91.23689738,0.087631026,"Meta","DF","nuclear pore,nucleoplasm,nucleolus,cytoplasm,cytosol,plasma membrane,microvillus,brush border,basal plasma membrane,membrane,cytoplasmic, membrane-bounded vesicle,lateral plasma membrane,unconventional myosin complex,filamentous actin,ruffle membrane,membrane raft,myosin I complex,stereocilium membrane,extracellular exosome,stress fiber","microfilament motor activity,actin binding,receptor binding,protein binding,calmodulin binding,ATP binding,protein C-terminus binding,Ral GTPase binding,actin-dependent ATPase activity","protein targeting,protein targeting to membrane,positive regulation of cell migration,positive regulation of actin filament polymerization,positive regulation of cell migration by vascular endothelial growth factor signaling pathway,Fc-gamma receptor signaling pathway involved in phagocytosis,positive regulation of gene expression, epigenetic,mRNA transport,positive regulation of protein targeting to membrane,positive regulation of cellular response to insulin stimulus,positive regulation of vascular endothelial growth factor signaling pathway,regulation of bicellular tight junction assembly",49.6363880201079,"Blue"
"129","ERPR / DF","P14543","P14543",-2.181770016,2.181770016,4.17e-52,2.35e-50,546,"P14543","NID1","Nidogen-1","NID1_HUMAN",38,-77.9594828,0.220405172,"ERPR","DF","extracellular region,basement membrane,basal lamina,extracellular matrix,extracellular exosome,cell periphery","calcium ion binding,collagen binding,laminin binding,laminin-1 binding,proteoglycan binding","cell-matrix adhesion,positive regulation of cell-substrate adhesion,extracellular matrix disassembly,extracellular matrix organization,glomerular basement membrane development,basement membrane organization",49.6289321377283,"Blue"
"130","ERPR / DF","P08779","P08779",-4.304253063,4.304253063,6.68e-52,3.65e-50,392,"P08779","KRT16","Keratin, type I cytoskeletal 16","K1C16_HUMAN",24,-94.93836623,0.050616338,"ERPR","DF","nucleus,cytoskeleton,intermediate filament,extracellular exosome","structural constituent of cytoskeleton,protein binding","morphogenesis of an epithelium,inflammatory response,cytoskeleton organization,aging,cell proliferation,epidermis development,keratinocyte differentiation,negative regulation of cell migration,keratinization,hair cycle,innate immune response,intermediate filament cytoskeleton organization,keratinocyte migration,establishment of skin barrier",49.4377071355435,"Blue"
"131","HER2 / DF","P24821","P24821",3.24652443,3.24652443,1.29e-51,6.97e-50,1162,"P24821","TNC","Tenascin","TENA_HUMAN",72,849.0765332,9.490765332,"HER2","DF","extracellular region,basement membrane,interstitial matrix,extracellular space,focal adhesion,membrane,extracellular matrix","syndecan binding","osteoblast differentiation,cell adhesion,negative regulation of cell adhesion,neuromuscular junction development,positive regulation of cell proliferation,response to wounding,response to mechanical stimulus,positive regulation of gene expression,peripheral nervous system axon regeneration,extracellular matrix organization,wound healing,odontogenesis of dentin-containing tooth,response to ethanol,bud outgrowth involved in lung branching,mesenchymal-epithelial cell signaling involved in prostate gland development,prostate gland epithelium morphogenesis,cellular response to retinoic acid,cellular response to vitamin D,response to fibroblast growth factor,cellular response to prostaglandin D stimulus",49.156767221902,"Red"
"132","TN / DF","P22105","P22105",-1.874243939,1.874243939,3.47e-51,1.55e-49,532,"P22105","TNXB","Tenascin-X","TENX_HUMAN",44,-72.72301562,0.272769844,"TN","DF","proteinaceous extracellular matrix,extracellular space,intracellular,extracellular exosome,fibrillar collagen trimer,extracellular matrix","integrin binding,heparin binding","cell adhesion,actin cytoskeleton organization,collagen fibril organization,collagen metabolic process,elastic fiber assembly",48.8096683018297,"Blue"
"133","HER2 / DF","P01024","P01024",1.64948026,1.64948026,3.8e-51,1.99e-49,1988,"P01024","C3","Complement C3","CO3_HUMAN",128,213.7205989,3.137205989,"HER2","DF","extracellular region,extracellular space,plasma membrane,extracellular exosome,blood microparticle","serine-type endopeptidase activity,endopeptidase inhibitor activity,receptor binding,protein binding,C5L2 anaphylatoxin chemotactic receptor binding","positive regulation of type IIa hypersensitivity,positive regulation of protein phosphorylation,positive regulation of activation of membrane attack complex,proteolysis,fatty acid metabolic process,inflammatory response,immune response,complement activation,complement activation, alternative pathway,complement activation, classical pathway,signal transduction,G-protein coupled receptor signaling pathway,positive regulation of vascular endothelial growth factor production,positive regulation of glucose transport,regulation of triglyceride biosynthetic process,positive regulation of lipid storage,negative regulation of endopeptidase activity,regulation of complement activation,positive regulation of G-protein coupled receptor protein signaling pathway,positive regulation of angiogenesis,regulation of immune response,positive regulation of apoptotic cell clearance",48.7011469235903,"Red"
"134","HER2 / DF","P48735","P48735",1.607309974,1.607309974,5.85e-51,2.97e-49,616,"P48735","IDH2","Isocitrate dehydrogenase [NADP], mitochondrial","IDHP_HUMAN",38,204.6832043,3.046832043,"HER2","DF","mitochondrion,mitochondrial inner membrane,mitochondrial matrix,peroxisome,cytosol,extracellular exosome","magnesium ion binding,isocitrate dehydrogenase (NADP+) activity,NAD binding","carbohydrate metabolic process,glyoxylate cycle,tricarboxylic acid cycle,isocitrate metabolic process,2-oxoglutarate metabolic process",48.5272435506828,"Red"
"135","Meta / DF","Q15582","Q15582",2.514947879,2.514947879,1.91e-50,9.35e-49,658,"Q15582","TGFBI","Transforming growth factor-beta-induced protein ig-h3","BGH3_HUMAN",37,471.5770057,5.715770057,"Meta","DF","extracellular region,proteinaceous extracellular matrix,basement membrane,extracellular space,trans-Golgi network,plasma membrane,extracellular matrix,extracellular exosome","integrin binding,protein binding,collagen binding,extracellular matrix binding","angiogenesis,chondrocyte differentiation,cell adhesion,negative regulation of cell adhesion,visual perception,cell proliferation,extracellular matrix organization,cellular protein metabolic process,response to stimulus",48.0291883891275,"Red"
"136","TP / DF","Q09666","Q09666",1.174804992,1.174804992,1.24e-50,1.09e-48,5418,"Q09666","AHNAK","Neuroblast differentiation-associated protein AHNAK","AHNK_HUMAN",430,125.7623628,2.257623628,"TP","DF","nucleus,cytoplasm,lysosomal membrane,cytosol,plasma membrane,cell-cell adherens junction,focal adhesion,actin cytoskeleton,membrane,T-tubule,vesicle,sarcolemma,costamere,cell-cell contact zone,extracellular exosome,membrane raft","protein binding,S100 protein binding,poly(A) RNA binding,structural molecule activity conferring elasticity,cadherin binding involved in cell-cell adhesion","regulation of RNA splicing,protein oligomerization,cell-cell adhesion,regulation of voltage-gated calcium channel activity",47.9625735020594,"Red"
"137","HER2 / DF","P55268","P55268",-2.213452688,2.213452688,5.94e-50,2.84e-48,588,"P55268","LAMB2","Laminin subunit beta-2","LAMB2_HUMAN",51,-78.43823308,0.215617669,"HER2","DF","extracellular region,basement membrane,basal lamina,laminin-3 complex,laminin-11 complex,synapse,extracellular exosome,extracellular matrix","integrin binding,structural molecule activity","cell adhesion,axon guidance,neuromuscular junction development,visual perception,astrocyte development,Schwann cell development,extracellular matrix organization,axon extension involved in regeneration,retina development in camera-type eye,metanephric glomerular visceral epithelial cell development,metanephric glomerular basement membrane development",47.546681659953,"Blue"
"138","TP / DF","Q86YZ3","Q86YZ3",-4.443937598,4.443937598,1.41e-49,1.14e-47,532,"Q86YZ3","HRNR","Hornerin","HORN_HUMAN",34,-95.40546585,0.045945342,"TP","DF","cornified envelope,nucleus,cytoplasm,cell envelope,keratohyalin granule,perinuclear region of cytoplasm,extracellular exosome","calcium ion binding","keratinization,cell envelope organization,establishment of skin barrier",46.9430951486635,"Blue"
"139","Meta / DF","Q05707","Q05707",-1.233923109,1.233923109,2.74e-49,1.31e-47,1120,"Q05707","COL14A1","Collagen alpha-1(XIV) chain","COEA1_HUMAN",65,-57.4840261,0.425159739,"Meta","DF","extracellular region,proteinaceous extracellular matrix,collagen trimer,collagen type XIV trimer,extracellular space,endoplasmic reticulum lumen,extracellular exosome,extracellular matrix","extracellular matrix structural constituent,collagen binding,protein binding, bridging,poly(A) RNA binding","single organismal cell-cell adhesion,extracellular matrix organization,collagen fibril organization",46.8827287043442,"Blue"
"140","TN / DF","Q9NZN4","Q9NZN4",-2.683107681,2.683107681,1.24e-48,5.26e-47,560,"Q9NZN4","EHD2","EH domain-containing protein 2","EHD2_HUMAN",30,-84.42944451,0.155705555,"TN","DF","nucleus,cytosol,plasma membrane,caveola,endosome membrane,extrinsic component of membrane,perinuclear region of cytoplasm,recycling endosome membrane,extracellular exosome","nucleic acid binding,calcium ion binding,protein binding,ATP binding,GTP binding,hydrolase activity,protein domain specific binding","endocytosis,blood coagulation,cortical actin cytoskeleton organization,endocytic recycling,protein localization to plasma membrane,membrane tubulation,positive regulation of myoblast fusion,positive regulation of endocytic recycling",46.2790142558463,"Blue"
"141","HER2 / DF","P35579","P35579",2.407867134,2.407867134,3.65e-48,1.65e-46,3514,"P35579","MYH9","Myosin-9","MYH9_HUMAN",240,430.6891796,5.306891796,"HER2","DF","stress fiber,ruffle,uropod,nucleus,cytoplasm,spindle,actomyosin contractile ring,cytosol,plasma membrane,brush border,cell-cell adherens junction,actin cytoskeleton,membrane,myosin II complex,extracellular matrix,cell leading edge,neuromuscular junction,cleavage furrow,actomyosin,protein complex,extracellular exosome,myosin II filament,immunological synapse,focal adhesion,COP9 signalosome,integrin complex","microfilament motor activity,motor activity,actin binding,protein binding,calmodulin binding,ATP binding,ATPase activity,protein domain specific binding,actin-dependent ATPase activity,protein homodimerization activity,protein anchor,ADP binding,poly(A) RNA binding,actin filament binding,cadherin binding involved in cell-cell adhesion","meiotic spindle organization,cytokinesis,angiogenesis,in utero embryonic development,establishment of T cell polarity,membrane protein ectodomain proteolysis,phagocytosis, engulfment,integrin-mediated signaling pathway,myoblast fusion,regulation of cell shape,protein transport,actin filament-based movement,platelet formation,monocyte differentiation,actomyosin structure organization,actin cytoskeleton reorganization,uropod organization,blood vessel endothelial cell migration,leukocyte migration,establishment of meiotic spindle localization,platelet aggregation,negative regulation of actin filament severing,positive regulation of protein processing in phagocytic vesicle",45.7825160557861,"Red"
"142","TN / DF","P14543","P14543",-2.258410936,2.258410936,4.71e-48,1.95e-46,546,"P14543","NID1","Nidogen-1","NID1_HUMAN",38,-79.09979405,0.209002059,"TN","DF","extracellular region,basement membrane,basal lamina,extracellular matrix,extracellular exosome,cell periphery","calcium ion binding,collagen binding,laminin binding,laminin-1 binding,proteoglycan binding","cell-matrix adhesion,positive regulation of cell-substrate adhesion,extracellular matrix disassembly,extracellular matrix organization,glomerular basement membrane development,basement membrane organization",45.7099653886375,"Blue"
"143","Meta / DF","P08779","P08779",-4.132596196,4.132596196,1.62e-47,7.34e-46,392,"P08779","KRT16","Keratin, type I cytoskeletal 16","K1C16_HUMAN",24,-94.2988222,0.057011778,"Meta","DF","nucleus,cytoskeleton,intermediate filament,extracellular exosome","structural constituent of cytoskeleton,protein binding","morphogenesis of an epithelium,inflammatory response,cytoskeleton organization,aging,cell proliferation,epidermis development,keratinocyte differentiation,negative regulation of cell migration,keratinization,hair cycle,innate immune response,intermediate filament cytoskeleton organization,keratinocyte migration,establishment of skin barrier",45.1343039400839,"Blue"
"144","Meta / DF","P22105","P22105",-1.996418831,1.996418831,2.5e-47,1.1e-45,532,"P22105","TNXB","Tenascin-X","TENX_HUMAN",44,-74.93786599,0.25062134,"Meta","DF","proteinaceous extracellular matrix,extracellular space,intracellular,extracellular exosome,fibrillar collagen trimer,extracellular matrix","integrin binding,heparin binding","cell adhesion,actin cytoskeleton organization,collagen fibril organization,collagen metabolic process,elastic fiber assembly",44.9586073148418,"Blue"
"145","Meta / DF","Q86YZ3","Q86YZ3",-4.502287357,4.502287357,5.2e-47,2.24e-45,532,"Q86YZ3","HRNR","Hornerin","HORN_HUMAN",34,-95.58758394,0.044124161,"Meta","DF","cornified envelope,nucleus,cytoplasm,cell envelope,keratohyalin granule,perinuclear region of cytoplasm,extracellular exosome","calcium ion binding","keratinization,cell envelope organization,establishment of skin barrier",44.6497519816658,"Blue"
"146","ERPR / DF","Q04695","Q04695",-2.9327803,2.9327803,1.78e-46,9.14e-45,434,"Q04695","KRT17","Keratin, type I cytoskeletal 17","K1C17_HUMAN",26,-86.90380422,0.130961958,"ERPR","DF","cytoplasm,intermediate filament,extracellular exosome,cell periphery","structural constituent of cytoskeleton,MHC class II receptor activity,MHC class II protein binding","signal transduction,epidermis development,positive regulation of cell growth,hair follicle morphogenesis,keratinization,intermediate filament organization,positive regulation of translation,positive regulation of hair follicle development",44.0390538042662,"Blue"
"147","TN / DF","P08238","P08238",2.51804849,2.51804849,3.03e-46,1.19e-44,1526,"P08238","HSP90AB1","Heat shock protein HSP 90-beta","HS90B_HUMAN",83,472.8067486,5.728067486,"TN","DF","nucleoplasm,cytoplasm,mitochondrion,lysosomal membrane,cytosol,cell-cell adherens junction,cell surface,membrane,inclusion body,basolateral plasma membrane,apical plasma membrane,brush border membrane,melanosome,extracellular exosome,sperm head plasma membrane,ooplasm,COP9 signalosome","glycoprotein binding,UTP binding,CTP binding,double-stranded RNA binding,protein binding,ATP binding,GTP binding,drug binding,sulfonylurea receptor binding,protein kinase regulator activity,kinase binding,protein kinase binding,MHC class II protein complex binding,nitric-oxide synthase regulator activity,TPR domain binding,dATP binding,histone deacetylase binding,ion channel binding,poly(A) RNA binding,unfolded protein binding,cadherin binding involved in cell-cell adhesion","placenta development,protein folding,response to unfolded protein,response to salt stress,virion attachment to host cell,regulation of protein ubiquitination,positive regulation of protein binding,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,positive regulation of phosphoprotein phosphatase activity,positive regulation of protein import into nucleus, translocation,cellular response to drug,Fc-gamma receptor signaling pathway involved in phagocytosis,response to cocaine,negative regulation of neuron apoptotic process,positive regulation of nitric oxide biosynthetic process,positive regulation of cell size,protein stabilization,regulation of interferon-gamma-mediated signaling pathway,regulation of type I interferon-mediated signaling pathway,cellular response to interleukin-4,cellular response to organic cyclic compound,positive regulation of protein serine/threonine kinase activity,fibril organization,cell-cell adhesion,regulation of cellular response to heat,negative regulation of complement-dependent cytotoxicity",43.9244530386075,"Red"
"148","TN / DF","P98164","P98164",-4.024221287,4.024221287,3.55e-46,1.37e-44,812,"P98164","LRP2","Low-density lipoprotein receptor-related protein 2","LRP2_HUMAN",108,-93.8540548,0.061459452,"TN","DF","lysosome,lysosomal membrane,endosome,endoplasmic reticulum,Golgi apparatus,plasma membrane,clathrin-coated pit,integral component of membrane,apical plasma membrane,endocytic vesicle,brush border membrane,receptor complex,extracellular exosome","low-density lipoprotein receptor activity,calcium ion binding,protein binding,SH3 domain binding,lipoprotein transporter activity","retinoid metabolic process,ventricular septum development,protein glycosylation,lipid metabolic process,endocytosis,receptor-mediated endocytosis,cell proliferation,forebrain development,aorta development,vitamin D metabolic process,lipoprotein transport,coronary vasculature development",43.8632794328436,"Blue"
"149","ERPR / DF","P04275","P04275",-1.265778864,1.265778864,5.79e-46,2.89e-44,952,"P04275","VWF","von Willebrand factor","VWF_HUMAN",80,-58.41252105,0.41587479,"ERPR","DF","extracellular region,proteinaceous extracellular matrix,endoplasmic reticulum,extracellular matrix,platelet alpha granule,platelet alpha granule lumen,Weibel-Palade body,extracellular exosome","glycoprotein binding,protease binding,integrin binding,protein binding,collagen binding,immunoglobulin binding,identical protein binding,protein homodimerization activity,protein N-terminus binding,chaperone binding","platelet degranulation,cell adhesion,blood coagulation,blood coagulation, intrinsic pathway,hemostasis,response to wounding,platelet activation,extracellular matrix organization,cell-substrate adhesion,protein homooligomerization",43.5391021572435,"Blue"
"150","ERPR / DF","P02788","P02788",-2.819674506,2.819674506,7.96e-46,3.86e-44,994,"P02788","LTF","Lactotransferrin","TRFL_HUMAN",74,-85.83575612,0.141642439,"ERPR","DF","extracellular region,extracellular space,nucleus,cytoplasm,cell surface,secretory granule,specific granule,protein complex,extracellular exosome,phagocytic vesicle lumen","DNA binding,serine-type endopeptidase activity,iron ion binding,protein binding,heparin binding,protein serine/threonine kinase activator activity","ossification,regulation of cytokine production,retina homeostasis,innate immune response in mucosa,transcription, DNA-templated,proteolysis,ion transport,humoral immune response,antibacterial humoral response,antifungal humoral response,negative regulation of lipopolysaccharide-mediated signaling pathway,regulation of tumor necrosis factor production,negative regulation of ATPase activity,iron assimilation by chelation and transport,positive regulation of osteoblast proliferation,positive regulation of toll-like receptor 4 signaling pathway,negative regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,cellular protein metabolic process,negative regulation by host of viral process,negative regulation of viral genome replication,cell redox homeostasis,positive regulation of osteoblast differentiation,negative regulation of viral process,positive regulation of NF-kappaB transcription factor activity,bone morphogenesis,positive regulation of protein serine/threonine kinase activity,positive regulation of bone mineralization involved in bone maturation,negative regulation of single-species biofilm formation in or on host organism,positive regulation of chondrocyte proliferation,negative regulation of tumor necrosis factor (ligand) superfamily member 11 production,negative regulation of osteoclast development",43.4134126953282,"Blue"
"151","TN / DF","P46940","P46940",1.920237328,1.920237328,1.57e-44,5.67e-43,2016,"P46940","IQGAP1","Ras GTPase-activating-like protein IQGAP1","IQGA1_HUMAN",126,278.4853157,3.784853157,"TN","DF","ruffle,nucleus,cytoplasm,cytosol,microtubule,actin filament,plasma membrane,cell-cell adherens junction,focal adhesion,lateral plasma membrane,axon,growth cone,midbody,extrinsic component of cytoplasmic side of plasma membrane,slit diaphragm,cytoplasmic ribonucleoprotein granule,neuron projection,protein complex,membrane raft,extracellular exosome,actin cytoskeleton,microtubule cytoskeleton","GTPase inhibitor activity,GTPase activator activity,calcium ion binding,protein binding,calmodulin binding,phosphatidylinositol-3,4,5-trisphosphate binding,protein kinase binding,protein phosphatase binding,protein domain specific binding,protein complex binding,protein serine/threonine kinase activator activity,S100 protein binding,Rac GTPase binding,mitogen-activated protein kinase binding,cadherin binding involved in cell-cell adhesion","regulation of cytokine production,signal transduction,epidermal growth factor receptor signaling pathway,fibroblast growth factor receptor signaling pathway,negative regulation of GTPase activity,negative regulation of dephosphorylation,cellular response to platelet-derived growth factor stimulus,positive regulation of MAP kinase activity,positive regulation of GTPase activity,positive regulation of protein kinase activity,platelet-derived growth factor receptor signaling pathway,positive regulation of focal adhesion assembly,cellular response to calcium ion,cellular response to epidermal growth factor stimulus,glomerular visceral epithelial cell development,cell-cell adhesion,positive regulation of dendrite development,positive regulation of peptidyl-tyrosine autophosphorylation,positive regulation of cellular protein localization,positive regulation of vascular associated smooth muscle cell migration,neuron projection extension,response to angiotensin",42.2464169411071,"Red"
"152","Meta / DF","P02679","P02679",1.357383409,1.357383409,1.76e-44,7.41e-43,742,"P02679","FGG","Fibrinogen gamma chain","FIBG_HUMAN",37,156.220056,2.56220056,"Meta","DF","extracellular region,fibrinogen complex,extracellular space,plasma membrane,cell cortex,external side of plasma membrane,cell surface,platelet alpha granule,platelet alpha granule lumen,extracellular exosome,blood microparticle","receptor binding,structural molecule activity,protein binding,protein binding, bridging,metal ion binding,cell adhesion molecule binding","platelet degranulation,cell-matrix adhesion,signal transduction,blood coagulation,protein secretion,extracellular matrix organization,plasminogen activation,positive regulation of heterotypic cell-cell adhesion,fibrinolysis,cellular protein complex assembly,positive regulation of vasoconstriction,positive regulation of exocytosis,positive regulation of protein secretion,protein polymerization,response to calcium ion,positive regulation of ERK1 and ERK2 cascade,platelet aggregation,blood coagulation, fibrin clot formation,positive regulation of peptide hormone secretion,positive regulation of substrate adhesion-dependent cell spreading,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,negative regulation of endothelial cell apoptotic process",42.1301817920207,"Red"
"153","ERPR / DF","P12814","P12814",0.896505905,0.896505905,4.2e-44,1.98e-42,1764,"P12814","ACTN1","Alpha-actinin-1","ACTN1_HUMAN",93,86.15519849,1.861551985,"ERPR","DF","stress fiber,ruffle,extracellular region,extracellular space,intracellular,cytoplasm,cytosol,plasma membrane,brush border,cell-cell junction,fascia adherens,focal adhesion,Z disc,platelet alpha granule lumen,pseudopodium,cell projection,extracellular exosome,actin filament","double-stranded RNA binding,integrin binding,calcium ion binding,protein binding,vinculin binding,ligand-dependent nuclear receptor transcription coactivator activity,protein homodimerization activity,ion channel binding,actin filament binding","platelet degranulation,actin filament organization,platelet formation,platelet morphogenesis,regulation of apoptotic process,focal adhesion assembly,actin filament bundle assembly,negative regulation of cellular component movement,actin filament network formation,actin crosslink formation,regulation of nucleic acid-templated transcription,platelet activation,platelet aggregation",41.7033348097385,"Red"
